GET    /v1/catalogos | operationId=obterTodosRegistros_10 | params=statusAtivo[query]:boolean
POST   /v1/catalogos | operationId=incluirRegistro_12 | params=
GET    /v1/catalogos/{id} | operationId=obterRegistro_13 | params=id[path]*:integer
PATCH  /v1/catalogos/{id} | operationId=alterarParcialmenteRegistro_10 | params=id[path]*:integer
GET    /v1/categoriaItemPcas | operationId=obterTodosRegistros_9 | params=statusAtivo[query]:boolean
POST   /v1/categoriaItemPcas | operationId=incluirRegistro_11 | params=
GET    /v1/categoriaItemPcas/{id} | operationId=obterRegistro_12 | params=id[path]*:integer
PATCH  /v1/categoriaItemPcas/{id} | operationId=alterarParcialmenteRegistro_9 | params=id[path]*:integer
GET    /v1/instrumento-convocatorio-modalidade-amparo-legal | operationId=consultar | params=amparoLegalId[query]:integer, modalidadeId[query]:integer, tipoInstrumentoConvocatorioId[query]:integer
POST   /v1/instrumento-convocatorio-modalidade-amparo-legal | operationId=incluirRegistro_8 | params=
DELETE /v1/instrumento-convocatorio-modalidade-amparo-legal/{amparoLegalId}/{modalidadeId}/{tipoInstrumentoConvocatorioId} | operationId=deletarRegistro | params=amparoLegalId[path]*:integer, modalidadeId[path]*:integer, tipoInstrumentoConvocatorioId[path]*:integer
GET    /v1/instrumento-convocatorio-modalidade-amparo-legal/{amparoLegalId}/{modalidadeId}/{tipoInstrumentoConvocatorioId} | operationId=obterRegistro_9 | params=amparoLegalId[path]*:integer, modalidadeId[path]*:integer, tipoInstrumentoConvocatorioId[path]*:integer
GET    /v1/modalidade-criterio-julgamento | operationId=obterCriteriosJulgamentoPorModalidade | params=modalidadeId[query]:integer, criterioJulgamentoId[query]:integer
POST   /v1/modalidade-criterio-julgamento | operationId=incluirModalidadeCriterioJulgamento | params=
DELETE /v1/modalidade-criterio-julgamento/{modalidadeId}/{criterioJulgamentoId} | operationId=excluirModalidadeCriterioJulgamento | params=modalidadeId[path]*:integer, criterioJulgamentoId[path]*:integer
